exam_system,section,region_or_subsection,maneuver_or_finding,source_item,patient_instruction_or_setup,examiner_technique,observe_or_positive_finding,function_or_clinical_use,suggested_checklist_label,suggested_options,include_when,exam_id
MSK,Spine,Cervical spine,Inspect cervical spine,MSK Cervical Spine,Expose neck as appropriate,Inspect cervical spine,"Deformity, asymmetry, swelling",Screens cervical spine appearance,Cervical spine inspection,Normal / Deformity / Asymmetric / Swelling,Neck pain; trauma; radiculopathy,msk_spine_cervical_spine_inspect_cervical_spine
MSK,Spine,Cervical spine,Palpate cervical spine,MSK Cervical Spine,Relax neck,Palpate cervical vertebrae and paravertebral muscles on skin,Midline or paraspinal tenderness,Screens cervical tenderness,Cervical spine palpation,Nontender / Midline tender / Paraspinal tender / Spasm,Neck pain; trauma; radiculopathy,msk_spine_cervical_spine_palpate_cervical_spine
MSK,Spine,Cervical spine,Cervical flexion,MSK Cervical ROM,Chin to chest,Observe cervical flexion,Limited motion or pain,Screens cervical flexion,Cervical flexion,Full / Limited by pain / Limited / Unable,Neck pain; MSK exam,msk_spine_cervical_spine_cervical_flexion
MSK,Spine,Cervical spine,Cervical extension,MSK Cervical ROM,Look toward ceiling,Observe cervical extension,Limited motion or pain,Screens cervical extension,Cervical extension,Full / Limited by pain / Limited / Unable,Neck pain; MSK exam,msk_spine_cervical_spine_cervical_extension
MSK,Spine,Cervical spine,Cervical rotation,MSK Cervical ROM,Turn head left and right,Observe cervical rotation,Limited motion or pain,Screens cervical rotation,Cervical rotation,Full / Limited by pain / Limited / Unable,Neck pain; MSK exam,msk_spine_cervical_spine_cervical_rotation
MSK,Spine,Cervical spine,Cervical lateral bending,MSK Cervical ROM,Bring ear toward each shoulder,Observe lateral bending,Limited motion or pain,Screens cervical lateral bending,Cervical lateral bending,Full / Limited by pain / Limited / Unable,Neck pain; MSK exam,msk_spine_cervical_spine_cervical_lateral_bending
MSK,Spine,Thoracolumbar spine,Inspect thoracolumbar spine,MSK Thoracolumbar Spine,Stand up as able,Inspect thoracolumbar spine,"Scoliosis, deformity, asymmetry",Screens back appearance,Thoracolumbar inspection,Normal / Deformity / Asymmetric / Unable,Back pain; posture; trauma,msk_spine_thoracolumbar_spine_inspect_thoracolumbar_spine
MSK,Spine,Thoracolumbar spine,Palpate thoracolumbar spine,MSK Thoracolumbar Spine,Stand or sit as able,Palpate vertebrae and paravertebral muscles on skin,Midline/paraspinal tenderness or spasm,Screens back tenderness,Thoracolumbar palpation,Nontender / Midline tender / Paraspinal tender / Spasm,Back pain; trauma; radiculopathy,msk_spine_thoracolumbar_spine_palpate_thoracolumbar_spine
MSK,Spine,Thoracolumbar spine,Thoracolumbar flexion,MSK Thoracolumbar ROM,Lean forward and attempt to touch toes,Observe flexion,Limited motion or pain,Screens thoracolumbar flexion,Thoracolumbar flexion,Full / Limited by pain / Limited / Unable,Back pain; MSK exam,msk_spine_thoracolumbar_spine_thoracolumbar_flexion
MSK,Spine,Thoracolumbar spine,Thoracolumbar extension,MSK Thoracolumbar ROM,Bend backward,Observe extension,Limited motion or pain,Screens thoracolumbar extension,Thoracolumbar extension,Full / Limited by pain / Limited / Unable,Back pain; MSK exam,msk_spine_thoracolumbar_spine_thoracolumbar_extension
MSK,Spine,Thoracolumbar spine,Thoracolumbar rotation,MSK Thoracolumbar ROM,Rotate torso left and right while hips stabilized,Stabilize hips; observe rotation,Limited motion or pain,Screens thoracolumbar rotation,Thoracolumbar rotation,Full / Limited by pain / Limited / Unable,Back pain; MSK exam,msk_spine_thoracolumbar_spine_thoracolumbar_rotation
MSK,Spine,Thoracolumbar spine,Thoracolumbar lateral bending,MSK Thoracolumbar ROM,"Bend torso laterally, hand toward each foot",Observe lateral bending,Limited motion or pain,Screens thoracolumbar lateral bending,Thoracolumbar lateral bending,Full / Limited by pain / Limited / Unable,Back pain; MSK exam,msk_spine_thoracolumbar_spine_thoracolumbar_lateral_bending
MSK,Advanced Maneuvers,Shoulder,Empty can test,MSK Advanced Shoulder,Abduct arm to 90 degrees in scapular plane; internally rotate thumb down; resist downward pressure,Apply downward resistance,Pain or sudden drop,Tests shoulder impingement/supraspinatus,Empty can test,Negative / Pain / Weakness or drop / Unable,Shoulder pain; rotator cuff/impingement concern,msk_advanced_maneuvers_shoulder_empty_can_test
MSK,Advanced Maneuvers,Shoulder,Hawkins test,MSK Advanced Shoulder,Arm abducted to 90 degrees with elbow flexed to 90 degrees,Internally rotate forearm downward while holding mid upper arm for stability,Pain,Tests shoulder impingement,Hawkins test,Negative / Positive / Unable,Shoulder impingement concern,msk_advanced_maneuvers_shoulder_hawkins_test
MSK,Advanced Maneuvers,Shoulder,Yergason test,MSK Advanced Shoulder,"Elbow flexed 90 degrees, forearm pronated; supinate against resistance",Resist supination,Pain over biceps tendon,Tests bicipital tendinitis,Yergason test,Negative / Positive / Unable,Anterior shoulder pain; biceps tendon concern,msk_advanced_maneuvers_shoulder_yergason_test
MSK,Advanced Maneuvers,Wrist,Tinel test,MSK Advanced Wrist,Relax wrist,Tap over median nerve at wrist,"Tingling or pain in thumb, index, middle, radial ring finger",Tests carpal tunnel syndrome,Tinel sign,Negative / Positive right / Positive left / Bilateral,Paresthesias; carpal tunnel concern,msk_advanced_maneuvers_wrist_tinel_test
MSK,Advanced Maneuvers,Wrist,Phalen test,MSK Advanced Wrist,Flex wrists to 90 degrees with dorsum of hands pressed together for 30 seconds,Hold position and observe symptoms,Tingling or pain,Tests carpal tunnel syndrome,Phalen test,Negative / Positive right / Positive left / Bilateral,Paresthesias; carpal tunnel concern,msk_advanced_maneuvers_wrist_phalen_test
MSK,Advanced Maneuvers,Wrist,Finkelstein test,MSK Advanced Wrist,Tuck thumb into fist,Ulnar deviate wrist,Radial wrist pain,Tests De Quervain tenosynovitis,Finkelstein test,Negative / Positive right / Positive left / Bilateral,Radial wrist pain; De Quervain concern,msk_advanced_maneuvers_wrist_finkelstein_test
MSK,Advanced Maneuvers,Back,Straight leg raise,MSK Advanced Back,Lie supine with leg extended,Raise leg to at least 60 degrees or until pain; test both legs,Radiating pain,Tests sciatica/radiculopathy,Straight leg raise,Negative / Positive right / Positive left / Bilateral,Low back pain with radicular symptoms,msk_advanced_maneuvers_back_straight_leg_raise
MSK,Advanced Maneuvers,Knee,Anterior drawer,MSK Advanced Knee,Knee flexed to 90 degrees; relax leg,Stabilize foot and pull tibia anteriorly,Greater than 5 mm laxity,Tests ACL tear,Anterior drawer,Negative / Positive right / Positive left / Bilateral,Knee injury; ACL concern,msk_advanced_maneuvers_knee_anterior_drawer
MSK,Advanced Maneuvers,Knee,Posterior drawer,MSK Advanced Knee,Knee flexed to 90 degrees; relax leg,Push tibia posteriorly,Greater than 5 mm laxity,Tests PCL tear,Posterior drawer,Negative / Positive right / Positive left / Bilateral,Knee injury; PCL concern,msk_advanced_maneuvers_knee_posterior_drawer
MSK,Advanced Maneuvers,Knee,Ballottement,MSK Advanced Knee,Relax knee,Milk fluid toward patella and press patella posteriorly,Palpable tap,Tests knee effusion,Patellar ballottement,Negative / Positive right / Positive left / Bilateral,Knee swelling; effusion concern,msk_advanced_maneuvers_knee_ballottement
MSK,Advanced Maneuvers,Knee,Patellar grind Clarke test,MSK Advanced Knee,Contract quadriceps while pressure is applied superior to patella,Apply pressure superior to patella,Pain,Tests patellofemoral syndrome,Patellar grind,Negative / Positive right / Positive left / Bilateral,Anterior knee pain,msk_advanced_maneuvers_knee_patellar_grind_clarke_test
