exam_system,section,region_or_subsection,maneuver_or_finding,source_item,patient_instruction_or_setup,examiner_technique,how_to_perform,observe_or_positive_finding,function_or_clinical_use,suggested_checklist_label,suggested_options,include_when,exam_id
General,General Survey,Cooperation,Cooperation with exam,General Survey,Explain exam and ask patient to participate,Observe ability to follow instructions sustain attention and tolerate maneuvers,Set up or position the patient: Explain exam and ask patient to participate. Perform the maneuver: Observe ability to follow instructions sustain attention and tolerate maneuvers. Assess and document: Limited cooperation delirium pain anxiety or weakness.,Limited cooperation delirium pain anxiety or weakness,Determines reliability and safety of bedside findings,Exam cooperation,Cooperative / Limited by pain / Limited by confusion / Limited by weakness / Unable,Every bedside exam; altered mental status; frailty,general_general_survey_cooperation_cooperation_with_exam
General,General Survey,Nutrition,Body habitus and nutrition,General Survey,Expose only needed areas while preserving privacy,Inspect muscle bulk fat stores and temporal wasting,Set up or position the patient: Expose only needed areas while preserving privacy. Perform the maneuver: Inspect muscle bulk fat stores and temporal wasting. Assess and document: Obesity cachexia sarcopenia or malnutrition clue.,Obesity cachexia sarcopenia or malnutrition clue,Screens nutritional status and chronic disease burden,Habitus and nutrition,Normal / Obesity / Cachexia / Sarcopenia / Edema limited / Unable,Weight loss; frailty; chronic disease; nutrition concern,general_general_survey_nutrition_body_habitus_and_nutrition
General,General Survey,Mobility,Bed mobility and transfer,General Survey,Ask patient to sit up stand or transfer only if safe,Observe rolling sitting standing and transfer mechanics,Set up or position the patient: Ask patient to sit up stand or transfer only if safe. Perform the maneuver: Observe rolling sitting standing and transfer mechanics. Assess and document: Needs assistance orthostasis pain weakness or unsafe transfer.,Needs assistance orthostasis pain weakness or unsafe transfer,Screens functional status fall risk and discharge needs,Bed mobility and transfer,Independent / Needs assist / Unsafe / Orthostatic symptoms / Unable,Falls; discharge planning; weakness; frailty,general_general_survey_mobility_bed_mobility_and_transfer
General,General Survey,Lines and Devices,Lines tubes and drains survey,General Survey,Ask permission to inspect visible devices,Inspect IVs drains catheters oxygen tubing telemetry and dressings,Set up or position the patient: Ask permission to inspect visible devices. Perform the maneuver: Inspect IVs drains catheters oxygen tubing telemetry and dressings. Assess and document: Dislodgement erythema leakage kinking or unsafe placement.,Dislodgement erythema leakage kinking or unsafe placement,Screens device-related complications and nursing follow-up needs,Lines tubes drains,Intact / Erythema / Leakage / Kinked / Dislodged / Not present,Inpatient rounds; post-procedure; device concern,general_general_survey_lines_and_devices_lines_tubes_and_drains_survey
General,General Survey,Pain Behavior,Pain behavior with movement,General Survey,Ask patient to move affected area if safe,Observe facial expression guarding splinting and movement avoidance,Set up or position the patient: Ask patient to move affected area if safe. Perform the maneuver: Observe facial expression guarding splinting and movement avoidance. Assess and document: Guarding grimacing splinting or pain-limited motion.,Guarding grimacing splinting or pain-limited motion,Screens pain severity and functional impact,Pain behavior,None / Guarding / Grimacing / Splinting / Unable,Pain concern; post-operative exam; mobility assessment,general_general_survey_pain_behavior_pain_behavior_with_movement
General,General Survey,Frailty,Frailty phenotype screen,General Survey,Ask about exhaustion and observe grip gait and weight loss clues,Look for low activity slow gait weakness and wasting,Set up or position the patient: Ask about exhaustion and observe grip gait and weight loss clues. Perform the maneuver: Look for low activity slow gait weakness and wasting. Assess and document: Physical frailty markers or poor reserve.,Physical frailty markers or poor reserve,Screens vulnerability to delirium falls and discharge barriers,Frailty screen,No obvious frailty / Possible frailty / Severe frailty / Unable,Frailty; geriatric rounds; discharge planning,general_general_survey_frailty_frailty_phenotype_screen
Skin,Inspection,Whole body,General skin inspection,Skin Core,Expose relevant areas with draping,Inspect visible skin surfaces under good light,Set up or position the patient: Expose relevant areas with draping. Perform the maneuver: Inspect visible skin surfaces under good light. Assess and document: Rash pallor jaundice cyanosis wounds bruising or lesions.,Rash pallor jaundice cyanosis wounds bruising or lesions,Screens skin disease perfusion infection bleeding and systemic clues,Skin inspection,Normal / Rash / Jaundice / Pallor / Cyanosis / Bruising / Wounds,Every bedside exam; rash; infection; liver disease; anemia,skin_inspection_whole_body_general_skin_inspection
Skin,Inspection,Lesions,Primary lesion morphology,Skin Lesions,Identify a representative lesion,Describe macule papule plaque vesicle pustule nodule wheal ulcer or scale,Set up or position the patient: Identify a representative lesion. Perform the maneuver: Describe macule papule plaque vesicle pustule nodule wheal ulcer or scale. Assess and document: Specific primary lesion type.,Specific primary lesion type,Classifies dermatologic morphology for differential diagnosis,Lesion morphology,None / Macule-papule / Plaque / Vesicle-bulla / Pustule / Nodule / Ulcer,Rash; skin lesion; infection; dermatology concern,skin_inspection_lesions_primary_lesion_morphology
Skin,Inspection,Distribution,Lesion distribution pattern,Skin Lesions,Expose involved and comparison areas,Assess focal generalized dermatomal symmetric intertriginous acral or photoexposed pattern,Set up or position the patient: Expose involved and comparison areas. Perform the maneuver: Assess focal generalized dermatomal symmetric intertriginous acral or photoexposed pattern. Assess and document: Characteristic distribution pattern.,Characteristic distribution pattern,Links rash distribution to infection allergy autoimmune drug or vascular causes,Lesion distribution,Focal / Generalized / Dermatomal / Symmetric / Intertriginous / Acral / Photoexposed,Rash; drug eruption; zoster; cellulitis concern,skin_inspection_distribution_lesion_distribution_pattern
Skin,Palpation,Texture and Temperature,Skin temperature and moisture,Skin Core,Ask before touching affected area,Palpate dorsal hand over symmetric areas for warmth coolness moisture and tenderness,Set up or position the patient: Ask before touching affected area. Perform the maneuver: Palpate dorsal hand over symmetric areas for warmth coolness moisture and tenderness. Assess and document: Warm cool clammy dry tender or indurated skin.,Warm cool clammy dry tender or indurated skin,Screens perfusion infection inflammation dehydration and autonomic activation,Skin temperature moisture,Normal / Warm / Cool / Clammy / Dry / Tender,Sepsis; hypoglycemia symptoms; cellulitis; vascular concern,skin_palpation_texture_and_temperature_skin_temperature_and_moisture
Skin,Palpation,Turgor,Skin turgor,Skin Core,Relax hand or forearm if possible,Gently tent skin over dorsal hand or forearm and observe recoil,Set up or position the patient: Relax hand or forearm if possible. Perform the maneuver: Gently tent skin over dorsal hand or forearm and observe recoil. Assess and document: Delayed recoil or poor elasticity.,Delayed recoil or poor elasticity,Screens dehydration and chronic skin elasticity changes,Skin turgor,Normal / Decreased / Edematous unreliable / Unable,Dehydration; vomiting; diarrhea; frailty; poor intake,skin_palpation_turgor_skin_turgor
Skin,Perfusion,Capillary refill,Capillary refill,Skin Perfusion,Keep hand warm and at heart level if possible,Press nail bed or distal finger pad until blanching then release,Set up or position the patient: Keep hand warm and at heart level if possible. Perform the maneuver: Press nail bed or distal finger pad until blanching then release. Assess and document: Delayed refill or asymmetry.,Delayed refill or asymmetry,Screens peripheral perfusion and shock physiology clue,Capillary refill,Normal under 2 sec / Delayed / Asymmetric / Unable,Shock; dehydration; sepsis; limb ischemia; pediatric exam,skin_perfusion_capillary_refill_capillary_refill
Skin,Inspection,Mucocutaneous,Petechiae and purpura inspection,Skin Bleeding,Inspect dependent areas oral mucosa and lower extremities,Look for nonblanching pinpoint petechiae or larger purpura,Set up or position the patient: Inspect dependent areas oral mucosa and lower extremities. Perform the maneuver: Look for nonblanching pinpoint petechiae or larger purpura. Assess and document: Nonblanching petechiae purpura or ecchymoses.,Nonblanching petechiae purpura or ecchymoses,Screens thrombocytopenia vasculitis meningococcemia and coagulopathy clues,Petechiae purpura,Absent / Petechiae / Purpura / Ecchymoses / Unable,Bleeding concern; sepsis; rash; thrombocytopenia,skin_inspection_mucocutaneous_petechiae_and_purpura_inspection
Skin,Inspection,Blanching,Blanching test,Skin Lesions,Explain brief pressure over lesion,Press clear slide or finger over erythematous lesion and release,Set up or position the patient: Explain brief pressure over lesion. Perform the maneuver: Press clear slide or finger over erythematous lesion and release. Assess and document: Blanching or nonblanching redness.,Blanching or nonblanching redness,Differentiates vascular dilation from hemorrhage or purpura,Blanching,Blanches / Nonblanching / Mixed / Unable,Rash; petechiae; cellulitis; vascular lesion,skin_inspection_blanching_blanching_test
Skin,Inspection,Pressure Injury,Pressure injury survey,Skin Wounds,Turn or reposition with help if safe,Inspect sacrum heels elbows ears and device contact points,Set up or position the patient: Turn or reposition with help if safe. Perform the maneuver: Inspect sacrum heels elbows ears and device contact points. Assess and document: Nonblanching erythema blister ulcer eschar or device injury.,Nonblanching erythema blister ulcer eschar or device injury,Screens pressure injury risk and wound care needs,Pressure injury survey,None / Stage 1 concern / Open ulcer / Eschar / Device injury / Unable,Immobility; ICU; nursing facility; wound concern,skin_inspection_pressure_injury_pressure_injury_survey
Skin,Inspection,Wounds,Wound inspection,Skin Wounds,Expose wound while preserving sterile precautions,Assess size depth drainage odor surrounding erythema warmth and tenderness,Set up or position the patient: Expose wound while preserving sterile precautions. Perform the maneuver: Assess size depth drainage odor surrounding erythema warmth and tenderness. Assess and document: Drainage necrosis erythema dehiscence or fluctuance.,Drainage necrosis erythema dehiscence or fluctuance,Screens wound infection healing and source-control need,Wound inspection,Healing / Erythema / Drainage / Necrosis / Dehiscence / Fluctuance,Wound; post-operative exam; cellulitis; abscess,skin_inspection_wounds_wound_inspection
Skin,Palpation,Edema,Skin pitting edema grading,Skin Core,Expose dependent area,Press thumb over shin ankle sacrum or edematous area for several seconds,Set up or position the patient: Expose dependent area. Perform the maneuver: Press thumb over shin ankle sacrum or edematous area for several seconds. Assess and document: Pitting depth and rebound time.,Pitting depth and rebound time,Grades edema burden and distribution,Skin pitting edema,None / Trace / 1+ / 2+ / 3+ / 4+ / Sacral,Volume overload; nephrotic syndrome; liver disease; immobility,skin_palpation_edema_skin_pitting_edema_grading
Skin,Inspection,Nails,Nail clubbing,Skin Nails,Relax fingers at eye level,Inspect nail bed angle and Schamroth window,Set up or position the patient: Relax fingers at eye level. Perform the maneuver: Inspect nail bed angle and Schamroth window. Assess and document: Loss of diamond window or increased nail curvature.,Loss of diamond window or increased nail curvature,Screens chronic hypoxemia pulmonary cardiac or inflammatory disease clue,Nail clubbing,Absent / Present / Unable,Hypoxemia; interstitial lung disease; cyanotic heart disease,skin_inspection_nails_nail_clubbing
Skin,Inspection,Nails,Nail cyanosis,Skin Nails,Keep hand warm and compare mucosa if needed,Inspect nail beds and lips for blue discoloration,Set up or position the patient: Keep hand warm and compare mucosa if needed. Perform the maneuver: Inspect nail beds and lips for blue discoloration. Assess and document: Central or peripheral cyanosis clue.,Central or peripheral cyanosis clue,Screens oxygenation and perfusion abnormality,Nail or lip cyanosis,Absent / Peripheral / Central concern / Unable,Hypoxemia; shock; congenital heart disease; cold extremities,skin_inspection_nails_nail_cyanosis
Skin,Inspection,Nails,Nail pitting or onycholysis,Skin Nails,Inspect fingernails and toenails if relevant,Look for pits lifting discoloration thickening or spooning,Set up or position the patient: Inspect fingernails and toenails if relevant. Perform the maneuver: Look for pits lifting discoloration thickening or spooning. Assess and document: Nail pitting onycholysis dystrophy or koilonychia.,Nail pitting onycholysis dystrophy or koilonychia,Screens psoriasis thyroid disease fungal disease or iron deficiency clues,Nail changes,Absent / Pitting / Onycholysis / Dystrophy / Koilonychia,Rash; psoriasis; thyroid disease; anemia; foot exam,skin_inspection_nails_nail_pitting_or_onycholysis
Skin,Inspection,Hair,Hair distribution and alopecia,Skin Hair,Expose scalp or affected area as appropriate,Inspect diffuse patchy scarring or patterned hair loss and body hair distribution,Set up or position the patient: Expose scalp or affected area as appropriate. Perform the maneuver: Inspect diffuse patchy scarring or patterned hair loss and body hair distribution. Assess and document: Alopecia hirsutism or hair loss pattern.,Alopecia hirsutism or hair loss pattern,Screens endocrine autoimmune nutritional or inflammatory clues,Hair distribution,Normal / Diffuse loss / Patchy loss / Scarring / Hirsutism,Endocrine concern; alopecia; autoimmune disease; nutrition concern,skin_inspection_hair_hair_distribution_and_alopecia
Skin,Palpation,Lumps,Subcutaneous nodule palpation,Skin Lesions,Relax affected area,Palpate nodule for size depth mobility tenderness warmth and fluctuance,Set up or position the patient: Relax affected area. Perform the maneuver: Palpate nodule for size depth mobility tenderness warmth and fluctuance. Assess and document: Fixed tender fluctuant or mobile nodule.,Fixed tender fluctuant or mobile nodule,Screens abscess cyst lipoma lymph node or malignancy clue,Subcutaneous nodule,Absent / Mobile / Fixed / Tender / Fluctuant,Skin lump; abscess concern; malignancy concern,skin_palpation_lumps_subcutaneous_nodule_palpation
Skin,Inspection,Vascular,Venous stasis skin changes,Skin Vascular,Expose lower legs,Inspect gaiter area for hyperpigmentation lipodermatosclerosis ulcers and varicosities,Set up or position the patient: Expose lower legs. Perform the maneuver: Inspect gaiter area for hyperpigmentation lipodermatosclerosis ulcers and varicosities. Assess and document: Stasis dermatitis ulcer or varicosities.,Stasis dermatitis ulcer or varicosities,Screens chronic venous insufficiency and ulcer risk,Venous stasis skin,Absent / Hyperpigmentation / Dermatitis / Ulcer / Varicosities,Leg swelling; venous insufficiency; ulcer concern,skin_inspection_vascular_venous_stasis_skin_changes
Lymphatic,Node Survey,General,General lymph node survey,Lymphatic Core,Relax patient and expose only examined region,Palpate major superficial nodal basins as clinically indicated,Set up or position the patient: Relax patient and expose only examined region. Perform the maneuver: Palpate major superficial nodal basins as clinically indicated. Assess and document: Enlarged tender fixed matted or asymmetric nodes.,Enlarged tender fixed matted or asymmetric nodes,Screens localized infection systemic inflammation or malignancy clue,Lymph node survey,None enlarged / Localized / Generalized / Tender / Fixed,Fevers; weight loss; infection; malignancy concern,lymphatic_node_survey_general_general_lymph_node_survey
Lymphatic,Node Survey,Axillary,Axillary lymph nodes,Lymphatic Nodes,Relax arm supported by examiner,Palpate central anterior posterior lateral and apical axillary nodes,Set up or position the patient: Relax arm supported by examiner. Perform the maneuver: Palpate central anterior posterior lateral and apical axillary nodes. Assess and document: Enlarged tender fixed or matted axillary nodes.,Enlarged tender fixed or matted axillary nodes,Screens breast upper limb infection malignancy and systemic adenopathy,Axillary nodes,None / Enlarged right / Enlarged left / Tender / Fixed / Unable,Breast concern; arm infection; lymphadenopathy,lymphatic_node_survey_axillary_axillary_lymph_nodes
Lymphatic,Node Survey,Epitrochlear,Epitrochlear lymph nodes,Lymphatic Nodes,Flex elbow slightly,Palpate medial arm just proximal to medial epicondyle,Set up or position the patient: Flex elbow slightly. Perform the maneuver: Palpate medial arm just proximal to medial epicondyle. Assess and document: Enlarged epitrochlear node.,Enlarged epitrochlear node,Screens distal upper extremity infection and systemic adenopathy,Epitrochlear nodes,None / Enlarged right / Enlarged left / Tender / Unable,Hand infection; lymphoma concern; generalized lymphadenopathy,lymphatic_node_survey_epitrochlear_epitrochlear_lymph_nodes
Lymphatic,Node Survey,Inguinal,Inguinal lymph nodes,Lymphatic Nodes,Drape groin and ask permission,Palpate horizontal and vertical inguinal chains,Set up or position the patient: Drape groin and ask permission. Perform the maneuver: Palpate horizontal and vertical inguinal chains. Assess and document: Enlarged tender fixed or matted inguinal nodes.,Enlarged tender fixed or matted inguinal nodes,Screens lower extremity genital pelvic infection or malignancy clue,Inguinal nodes,None / Enlarged right / Enlarged left / Tender / Fixed / Unable,Leg infection; genital lesion; pelvic concern; lymphadenopathy,lymphatic_node_survey_inguinal_inguinal_lymph_nodes
Lymphatic,Extremity,Lymphedema,Lymphedema inspection,Lymphatic Extremity,Expose affected limb and compare sides,Inspect limb size skin thickening dorsal foot or hand swelling and Stemmer sign,Set up or position the patient: Expose affected limb and compare sides. Perform the maneuver: Inspect limb size skin thickening dorsal foot or hand swelling and Stemmer sign. Assess and document: Nonpitting edema skin thickening or positive Stemmer sign.,Nonpitting edema skin thickening or positive Stemmer sign,Screens lymphatic obstruction and chronic lymphedema,Lymphedema signs,Absent / Possible / Marked / Skin changes / Unable,Chronic limb swelling; cancer treatment history; cellulitis risk,lymphatic_extremity_lymphedema_lymphedema_inspection
Breast,Preparation,Draping,Breast exam positioning,Breast Core,Offer chaperone and explain each step,Position seated and supine with appropriate draping and arm positioning,Set up or position the patient: Offer chaperone and explain each step. Perform the maneuver: Position seated and supine with appropriate draping and arm positioning. Assess and document: Exam completed or limited by pain privacy or mobility.,Exam completed or limited by pain privacy or mobility,Ensures safe respectful breast and chest wall exam setup,Breast exam setup,Completed / Deferred / Limited by pain / Limited by mobility / Chaperone present,Breast mass; nipple discharge; chest wall concern,breast_preparation_draping_breast_exam_positioning
Breast,Inspection,Breasts,Breast inspection,Breast Core,Arms at sides then raised then hands on hips if able,Inspect symmetry contour skin dimpling erythema scars peau d'orange and nipple inversion,Set up or position the patient: Arms at sides then raised then hands on hips if able. Perform the maneuver: Inspect symmetry contour skin dimpling erythema scars peau d'orange and nipple inversion. Assess and document: Asymmetry dimpling erythema retraction or nipple change.,Asymmetry dimpling erythema retraction or nipple change,Screens breast mass inflammation cancer or post-operative change,Breast inspection,Normal / Asymmetry / Dimpling / Erythema / Nipple change / Scar,Breast complaint; chest wall concern; malignancy concern,breast_inspection_breasts_breast_inspection
Breast,Palpation,Breast tissue,Breast palpation,Breast Core,Lie supine with ipsilateral arm overhead,Palpate breast tissue systematically with finger pads in vertical strip or circular pattern,Set up or position the patient: Lie supine with ipsilateral arm overhead. Perform the maneuver: Palpate breast tissue systematically with finger pads in vertical strip or circular pattern. Assess and document: Mass focal tenderness thickening fluctuance or skin tethering.,Mass focal tenderness thickening fluctuance or skin tethering,Screens breast mass abscess mastitis or focal pain source,Breast palpation,No mass / Mass right / Mass left / Tender / Thickening / Fluctuant,Breast mass; breast pain; mastitis concern,breast_palpation_breast_tissue_breast_palpation
Breast,Palpation,Nipple,Nipple and areola exam,Breast Core,Ask before compressing around areola if discharge is reported,Inspect nipple and gently palpate areola for discharge or subareolar mass,Set up or position the patient: Ask before compressing around areola if discharge is reported. Perform the maneuver: Inspect nipple and gently palpate areola for discharge or subareolar mass. Assess and document: Spontaneous or expressed discharge inversion eczema or mass.,Spontaneous or expressed discharge inversion eczema or mass,Screens papilloma malignancy infection and ductal disease clues,Nipple areola,Normal / Discharge / Inversion / Eczema / Subareolar mass,Breast discharge; nipple change; malignancy concern,breast_palpation_nipple_nipple_and_areola_exam
Breast,Palpation,Regional nodes,Breast regional nodes,Breast Nodes,Support arm and maintain drape,Palpate axillary supraclavicular and infraclavicular nodal areas,Set up or position the patient: Support arm and maintain drape. Perform the maneuver: Palpate axillary supraclavicular and infraclavicular nodal areas. Assess and document: Enlarged tender fixed or matted regional nodes.,Enlarged tender fixed or matted regional nodes,Screens regional spread infection or systemic adenopathy,Breast regional nodes,None / Axillary / Supraclavicular / Tender / Fixed,Breast mass; breast cancer concern; mastitis,breast_palpation_regional_nodes_breast_regional_nodes
Breast,Palpation,Chest wall,Chest wall tenderness,Breast Chest Wall,Ask patient to localize pain,Palpate ribs costochondral joints sternum and pectoral muscle over tender area,Set up or position the patient: Ask patient to localize pain. Perform the maneuver: Palpate ribs costochondral joints sternum and pectoral muscle over tender area. Assess and document: Reproducible focal chest wall tenderness.,Reproducible focal chest wall tenderness,Screens musculoskeletal chest pain and rib or costochondral source,Chest wall tenderness,Absent / Reproducible right / Reproducible left / Diffuse / Unable,Chest pain; trauma; cough pain; breast pain,breast_palpation_chest_wall_chest_wall_tenderness
Genitourinary,Preparation,Privacy,Genitourinary exam setup,GU Core,Explain indication offer chaperone and obtain consent,Confirm privacy draping patient comfort and stop signal,Set up or position the patient: Explain indication offer chaperone and obtain consent. Perform the maneuver: Confirm privacy draping patient comfort and stop signal. Assess and document: Exam completed deferred or limited.,Exam completed deferred or limited,Ensures safe respectful GU pelvic or rectal exam setup,GU exam setup,Completed / Deferred / Chaperone present / Limited / Unable,GU complaint; pelvic pain; testicular pain; urinary symptoms,genitourinary_preparation_privacy_genitourinary_exam_setup
Genitourinary,Male External Exam,Penis,Penile inspection,GU Male,Expose only genital area with drape,Inspect glans shaft foreskin and urethral meatus for lesions discharge swelling or phimosis,Set up or position the patient: Expose only genital area with drape. Perform the maneuver: Inspect glans shaft foreskin and urethral meatus for lesions discharge swelling or phimosis. Assess and document: Ulcer discharge swelling phimosis paraphimosis or plaque.,Ulcer discharge swelling phimosis paraphimosis or plaque,Screens STI balanitis trauma priapism or urethral disease,Penile inspection,Normal / Discharge / Ulcer / Swelling / Phimosis / Plaque,Dysuria; STI concern; genital pain; urinary obstruction,genitourinary_male_external_exam_penis_penile_inspection
Genitourinary,Male External Exam,Urethra,Urethral discharge expression,GU Male,Explain before palpation,If discharge concern gently milk urethra from base toward meatus,Set up or position the patient: Explain before palpation. Perform the maneuver: If discharge concern gently milk urethra from base toward meatus. Assess and document: Visible discharge or tenderness.,Visible discharge or tenderness,Screens urethritis and STI clue,Urethral discharge,Absent / Clear / Purulent / Bloody / Unable,Dysuria; urethritis; STI concern,genitourinary_male_external_exam_urethra_urethral_discharge_expression
Genitourinary,Male External Exam,Scrotum,Scrotal inspection,GU Male,Stand or lie with scrotum exposed and supported,Inspect scrotal skin size symmetry erythema edema masses and lie,Set up or position the patient: Stand or lie with scrotum exposed and supported. Perform the maneuver: Inspect scrotal skin size symmetry erythema edema masses and lie. Assess and document: Swelling erythema high-riding testis mass or skin lesion.,Swelling erythema high-riding testis mass or skin lesion,Screens torsion epididymitis hernia hydrocele or skin infection,Scrotal inspection,Normal / Swelling / Erythema / High-riding testis / Mass / Unable,Testicular pain; scrotal swelling; hernia concern,genitourinary_male_external_exam_scrotum_scrotal_inspection
Genitourinary,Male External Exam,Testes,Testicular and epididymal palpation,GU Male,Relax and support scrotum,Palpate each testis epididymis and spermatic cord separately,Set up or position the patient: Relax and support scrotum. Perform the maneuver: Palpate each testis epididymis and spermatic cord separately. Assess and document: Tenderness mass absent testis abnormal lie or cord swelling.,Tenderness mass absent testis abnormal lie or cord swelling,Screens torsion epididymitis mass varicocele hydrocele or hernia,Testicular palpation,Normal / Tender right / Tender left / Mass / Abnormal lie / Unable,Testicular pain; scrotal mass; infertility concern,genitourinary_male_external_exam_testes_testicular_and_epididymal_palpation
Genitourinary,Male External Exam,Hydrocele,Scrotal transillumination,GU Male,Darken room if available and support scrotum,Place light behind scrotal swelling without pressure,Set up or position the patient: Darken room if available and support scrotum. Perform the maneuver: Place light behind scrotal swelling without pressure. Assess and document: Transillumination present or absent.,Transillumination present or absent,Screens fluid-filled hydrocele versus solid mass clue,Scrotal transillumination,Negative / Positive right / Positive left / Unable,Scrotal swelling; hydrocele concern,genitourinary_male_external_exam_hydrocele_scrotal_transillumination
Genitourinary,Male External Exam,Hernia,Inguinal hernia exam,GU Male,Stand if safe and cough or bear down,Palpate inguinal canal or femoral area for impulse or bulge,Set up or position the patient: Stand if safe and cough or bear down. Perform the maneuver: Palpate inguinal canal or femoral area for impulse or bulge. Assess and document: Reducible bulge cough impulse incarceration tenderness.,Reducible bulge cough impulse incarceration tenderness,Screens inguinal or femoral hernia,Inguinal hernia,Absent / Right / Left / Bilateral / Tender / Incarceration concern,Groin pain; scrotal swelling; abdominal wall bulge,genitourinary_male_external_exam_hernia_inguinal_hernia_exam
Genitourinary,Male External Exam,Reflex,Cremasteric reflex,GU Male,Explain light stroke on inner thigh,Stroke superior medial thigh and observe ipsilateral testicular elevation,Set up or position the patient: Explain light stroke on inner thigh. Perform the maneuver: Stroke superior medial thigh and observe ipsilateral testicular elevation. Assess and document: Absent or asymmetric cremasteric response.,Absent or asymmetric cremasteric response,Screens reflex arc and torsion-associated clue,Cremasteric reflex,Present bilateral / Absent right / Absent left / Unable,Acute testicular pain; torsion concern; neuro exam,genitourinary_male_external_exam_reflex_cremasteric_reflex
Pelvic,External Exam,Vulva,External vulvar inspection,Pelvic Core,Offer chaperone and lithotomy or frog-leg position with draping,Inspect vulva perineum urethral opening and introitus,Set up or position the patient: Offer chaperone and lithotomy or frog-leg position with draping. Perform the maneuver: Inspect vulva perineum urethral opening and introitus. Assess and document: Lesions discharge erythema trauma prolapse or atrophy.,Lesions discharge erythema trauma prolapse or atrophy,Screens vulvovaginitis STI trauma prolapse and dermatologic disease,External vulvar inspection,Normal / Lesion / Discharge / Trauma / Prolapse / Atrophy,Pelvic pain; discharge; dysuria; STI concern,pelvic_external_exam_vulva_external_vulvar_inspection
Pelvic,Speculum Exam,Vagina and cervix,Speculum exam,Pelvic Core,Explain pressure and insert warmed lubricated speculum if consented,Visualize vaginal walls cervix os discharge bleeding lesions and foreign body,Set up or position the patient: Explain pressure and insert warmed lubricated speculum if consented. Perform the maneuver: Visualize vaginal walls cervix os discharge bleeding lesions and foreign body. Assess and document: Discharge bleeding friability lesion or cervical abnormality.,Discharge bleeding friability lesion or cervical abnormality,Screens cervicitis vaginitis bleeding source foreign body and cervical lesion,Speculum exam,Normal / Discharge / Bleeding / Friable cervix / Lesion / Unable,Pelvic pain; discharge; bleeding; cervical concern,pelvic_speculum_exam_vagina_and_cervix_speculum_exam
Pelvic,Speculum Exam,Cervix,Cervical os and discharge inspection,Pelvic Core,Keep speculum positioned with cervix in view,Inspect os for discharge bleeding products tissue or polyp,Set up or position the patient: Keep speculum positioned with cervix in view. Perform the maneuver: Inspect os for discharge bleeding products tissue or polyp. Assess and document: Os discharge bleeding tissue polyp or lesion.,Os discharge bleeding tissue polyp or lesion,Screens cervicitis miscarriage bleeding source and cervical pathology,Cervical os inspection,Normal / Discharge / Bleeding / Tissue / Polyp / Lesion,Bleeding; discharge; pregnancy concern; pelvic pain,pelvic_speculum_exam_cervix_cervical_os_and_discharge_inspection
Pelvic,Bimanual Exam,Cervix,Cervical motion tenderness,Pelvic Core,Explain bimanual pressure and stop for severe pain,Move cervix gently side to side during bimanual exam,Set up or position the patient: Explain bimanual pressure and stop for severe pain. Perform the maneuver: Move cervix gently side to side during bimanual exam. Assess and document: Pain with cervical motion.,Pain with cervical motion,Screens pelvic inflammatory disease ectopic pregnancy and pelvic peritonitis clue,Cervical motion tenderness,Absent / Present / Unable,Pelvic pain; PID concern; ectopic concern,pelvic_bimanual_exam_cervix_cervical_motion_tenderness
Pelvic,Bimanual Exam,Uterus,Uterine palpation,Pelvic Core,Relax abdominal wall if possible,Use vaginal fingers and abdominal hand to assess uterine size position mobility and tenderness,Set up or position the patient: Relax abdominal wall if possible. Perform the maneuver: Use vaginal fingers and abdominal hand to assess uterine size position mobility and tenderness. Assess and document: Enlarged fixed irregular or tender uterus.,Enlarged fixed irregular or tender uterus,Screens pregnancy fibroid uterine tenderness and mobility clues,Uterine palpation,Normal / Enlarged / Tender / Fixed / Irregular / Unable,Pelvic pain; bleeding; pregnancy concern; fibroid concern,pelvic_bimanual_exam_uterus_uterine_palpation
Pelvic,Bimanual Exam,Adnexa,Adnexal palpation,Pelvic Core,Warn about deep pressure,Palpate each adnexa with vaginal and abdominal hands,Set up or position the patient: Warn about deep pressure. Perform the maneuver: Palpate each adnexa with vaginal and abdominal hands. Assess and document: Adnexal mass tenderness or fullness.,Adnexal mass tenderness or fullness,Screens ovarian cyst torsion ectopic pregnancy or tubo-ovarian abscess clue,Adnexal palpation,Normal / Right tender / Left tender / Mass / Fullness / Unable,Pelvic pain; adnexal mass; ectopic concern; torsion concern,pelvic_bimanual_exam_adnexa_adnexal_palpation
Pelvic,Rectovaginal Exam,Posterior pelvis,Rectovaginal exam,Pelvic Advanced,Explain optional exam and obtain specific consent,Place one finger in vagina and one in rectum while palpating posterior pelvis,Set up or position the patient: Explain optional exam and obtain specific consent. Perform the maneuver: Place one finger in vagina and one in rectum while palpating posterior pelvis. Assess and document: Posterior mass nodularity tenderness or septal abnormality.,Posterior mass nodularity tenderness or septal abnormality,Screens posterior pelvic mass endometriosis rectovaginal septum and cul-de-sac disease,Rectovaginal exam,Normal / Tender / Nodularity / Mass / Deferred / Unable,Posterior pelvic pain; endometriosis concern; pelvic mass,pelvic_rectovaginal_exam_posterior_pelvis_rectovaginal_exam
